,artistId,name,relatedArtists,followers,popularity,genres,indegreeCentrality,eigenCentrality,betweenCentrality,closenessCentrality,pageRank
126,5y33cZ1Lo1YVUjraV880Lb,Bozorg,"['2SFwcduI9cdZsG6UxnBm3C', '4uGBJ4gqsK7NAUb3DKTL7Q', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",3446,23,['persian hip hop'],8,9.44431157107e-10,0.001144491094239838,0.08454018264453239,0.012516293940437448
127,7mGDv3CYlPghTIWzE6tOpv,Gdaal,"['4uGBJ4gqsK7NAUb3DKTL7Q', '2SFwcduI9cdZsG6UxnBm3C', '5y33cZ1Lo1YVUjraV880Lb', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",2885,25,['persian hip hop'],7,9.7813647631e-10,0.0010361451316225187,0.08435052435480825,0.012563824557100993
128,2SFwcduI9cdZsG6UxnBm3C,Sepehr Khalse,"['4uGBJ4gqsK7NAUb3DKTL7Q', '5y33cZ1Lo1YVUjraV880Lb', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",3847,30,['persian hip hop'],9,9.7813647631e-10,0.0011592957572857073,0.08458773055378127,0.012996556290425875
129,0jCVTRvQkILbJvpviTpvd1,Mehrad Hidden,"['2SFwcduI9cdZsG6UxnBm3C', '5y33cZ1Lo1YVUjraV880Lb', '7mGDv3CYlPghTIWzE6tOpv', '4uGBJ4gqsK7NAUb3DKTL7Q', '0u4qrFczDmAsJesHPgbnru']",5526,25,['persian hip hop'],6,7.75942401433e-10,8.592747286214623e-05,0.0775642005800016,0.01025685741259167
130,47w4VyWVolZiXYnFt0wqr9,Ali Azimi,"['2J9qJ9p2W1wphlX15FzbVd', '3juum1Huev3gBqWuTfHzML', '5BmZFKfOtJ5uhZd4FZFA2U', '5sGy7zfcUWYPh3wHbyz4fn', '1aAvWm4c1RQ2HnxFQYGFKS']",5138,25,['persian alternative'],3,2.30979691113e-17,0.0023708880483282796,0.022972002871500356,0.0014212609361269081
131,2NzB7sjEg2k46XhFXeYi2v,Peyman Yazdanian,"['129o0b0q8hAgjrd7jDrbhP', '5Uj3HYkiz1cn32IPHMqhOy', '1Ztcq0hkmzT4gWfmWZx3wu', '0eqvP2PYOlKKEZQSKYf06d', '4srYvTD5HMdRWxpKRHsNfV']",3037,22,"['persian alternative', 'persian neo-traditional', 'persian traditional']",7,2.75848546505e-11,0.03913549227619581,0.07340423606628581,0.005488215753921852
132,0eqvP2PYOlKKEZQSKYf06d,Andrea Bauer,"['2NzB7sjEg2k46XhFXeYi2v', '098NN14k4Oa9ZsSO1t3ECk', '61ZXD1o7fJ7DrwLXMzt50Y', '129o0b0q8hAgjrd7jDrbhP', '7L449lqnZwhxkWzu8j97cd']",343,9,[],1,5.5182352527e-12,0.019719811177097608,0.06719310839913854,0.001502015670012497
133,2rencXwi2bmo5d0P8443Ao,Shahyad,"['0EffwahbVorwsGoVtfovXM', '5coMLgB6HtAg6rf9QVPLPa', '3Tf5EjUPHi04W0filXAkrG', '6FwyjZoydsivQ2ge94HmLP', '5akOgE7THgqgmt4fAxQkre']",1825,25,"['classic persian pop', 'persian pop']",1,2.73510206383e-05,0.00019344759713268924,0.07633673987917114,0.0007774993979048303
134,4kC0KjDKDzan8PsIglvzio,Farhad,"['7f8OibY3PULjl3LFgONPXC', '2jvB5M73tBZlWybPmxIaw7', '4eVyI1yiHoRjVrxt5y7gGL', '1xA7r3Y1UGCp3rQMkgFXz4', '5b1CDxqOGnXr5M1DUn2XQh']",5713,26,"['classic persian pop', 'persian traditional']",2,4.94109189565e-11,0.016772282643522953,0.08003367623457601,0.0029119893133705693
135,1tOtb40DeTYQJZPe11zSVx,Hamid Askari,"['00J3XSB6tD4SGSFflGseDx', '0T1TzS3WjueMtv79puFaqr', '72482nIO3fujPgLNJQWuCy', '2IYl0pVatTl6O2d1CQj6GQ', '3IDPcBP4OoTNvm3b4h46cW']",5031,28,"['classic persian pop', 'persian pop']",8,1.22068583362e-06,0.01481106626121464,0.13587939698492463,0.007950114215048883
136,7gZ2ehh4RMlxJia3aVmoLM,Moein Z,"['67kWRUuakWQ7zpgUCLWMCH', '10q6ToQDyMq4fIckvuwXEO', '5soNWYxH02JzesP081GwEl', '2uae2HQyeF6uSsV7u1cUF2', '3ik1ITmfyz6tnIgodqEHlz']",1130,21,[],3,6.08926633937e-08,0.0,0.08648347658990226,0.008088015897208764
137,7hQmAXAzWI6D350VTgkKTG,Arash,"['56m55Jl81jGd7q54U0IAOE', '6hGL5amK9JGLOa3PNydScE', '1gej3rNdgoHFpH0D4Nxupv', '6a3oGQA11oMCKPqYRcG7Nq', '3IDPcBP4OoTNvm3b4h46cW']",48781,52,['persian pop'],0,-2.16066031257e-18,0.0,0.0,0.0005140468236726006
138,1bVetRIib0DC0OuFKkrB17,Shahab Tiam,"['1IU605ta1wAa04gO13wTsT', '2rencXwi2bmo5d0P8443Ao', '6FwyjZoydsivQ2ge94HmLP', '0EffwahbVorwsGoVtfovXM', '6CwqlS95wmmB4ZWgCtdzUi']",4726,38,['persian pop'],1,-2.88446640794e-18,0.001172214035757852,0.005025125628140704,0.0006065753316900552
139,1IU605ta1wAa04gO13wTsT,Mehrshad,"['6a3oGQA11oMCKPqYRcG7Nq', '2BAb1Ohq2UZYaK5JsYwsL6', '1bVetRIib0DC0OuFKkrB17', '1tOtb40DeTYQJZPe11zSVx', '56m55Jl81jGd7q54U0IAOE']",1520,28,"['classic persian pop', 'persian pop']",2,9.9550626555e-18,0.005782680766609114,0.01340033500837521,0.0011691487612121112
140,2BAb1Ohq2UZYaK5JsYwsL6,Saeed Shayesteh,"['1IU605ta1wAa04gO13wTsT', '2rencXwi2bmo5d0P8443Ao', '0uCPk7Qaa7trIUAo0MarQa', '6FwyjZoydsivQ2ge94HmLP', '1Sz090MImPxme9m9F5zM6x']",2316,23,['classic persian pop'],1,2.35563477505e-17,0.003013255083388358,0.011420740063956145,0.0008647917883373637
141,1ft8rFTxoZ1c41DCR1tr1T,Abdi Behravanfar,"['3Z5yC2rnZ3KLYms3QEz9Ie', '55zgTrm0JBRzarhIzKaPPf', '7mTfF5lvdMyiWciH81cNBq', '42o3S5oDd4Q4YyMNRmN5oS', '1Ztcq0hkmzT4gWfmWZx3wu']",1061,5,"['classic persian pop', 'persian alternative']",1,2.49943502692e-12,0.0042700878128013806,0.06550158397773549,0.0007749696979871357
142,4uGBJ4gqsK7NAUb3DKTL7Q,Wantons,"['2SFwcduI9cdZsG6UxnBm3C', '5y33cZ1Lo1YVUjraV880Lb', '7mGDv3CYlPghTIWzE6tOpv', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",3054,18,['persian hip hop'],8,9.7813647631e-10,0.0010757249450716788,0.08444524700989507,0.01287626920200987
143,3QNGoF6VzVNnkpjJDT3NHq,Shayea,"['7mGDv3CYlPghTIWzE6tOpv', '2SFwcduI9cdZsG6UxnBm3C', '0u4qrFczDmAsJesHPgbnru', '3NMQEyYaKVKd0ZBVJwyAwS', '4uGBJ4gqsK7NAUb3DKTL7Q']",4757,26,['persian hip hop'],1,2.02194078648e-10,0.004365260646667681,0.08392688890882986,0.0031484062130048398
144,0uCPk7Qaa7trIUAo0MarQa,Jahan,"['5TJxWW696uXFzZYpp9b6nk', '1Sz090MImPxme9m9F5zM6x', '6FwyjZoydsivQ2ge94HmLP', '6XJ5KXl0DaiBPd5xH5x7i5', '2rencXwi2bmo5d0P8443Ao']",2561,20,['classic persian pop'],3,0.000136724417905,0.10018283255301681,0.08439714098442523,0.0014636267998046405
145,55zgTrm0JBRzarhIzKaPPf,127,"['5YoplpynBN976eNYXe9ZrF', '4besYDIj6c0kONEoL2fFqP', '1Ztcq0hkmzT4gWfmWZx3wu', '01xUafSGlkbklhhimae66R', '6jCwWmmC5b4fF2y0OOP6g8']",1804,15,"['gypsy punk', 'persian alternative']",3,2.56309696008e-11,0.004252533712332707,0.07296626329739389,0.002020809455138721
146,5C43FNPZAzBXLGWgkYWbs1,Mohammad-Reza Shajarian,"['129o0b0q8hAgjrd7jDrbhP', '5Uj3HYkiz1cn32IPHMqhOy', '27dwAgbXmxxoow8Mpn7aQz', '3meYUCHyh5OayViOog5daw', '5sarhkyrBmQFnOJe2HrMBH']",12735,28,"['classic persian pop', 'persian traditional']",2,5.61343737505e-12,0.0004240687657773084,0.06653506925268343,0.0014106972698333415
147,6G9faozjdy9wpfIKhDMRBR,Mohammad Motamedi,"['68Mz4oTRLkgxPgdkmfujeL', '3RGDkgJ2rGLnm4JqoEvdVT', '55eAm6u8p3FNbnOMlL0tfy', '7gDiOICKaYVFJugoruVGlS', '0dEXbKWCnr91EGFzeI3mXS']",1573,16,"['persian neo-traditional', 'persian traditional']",3,2.89745332139e-17,0.0021559819298512762,0.025915290739411338,0.001528503354863672
148,3W7mWUVC6aDPAQX7yRFdz5,25band,"['5ZJVKcOJZ2liLXcMD8G4fG', '7kyv6pxakvg25qRWqq9vj7', '2ZC6H1OYbKsTwyWP2oipVD', '21bYSNzWliPW8JOHPMzx7X', '0iMvs2xig8hcY8LdFCSHKZ']",2515,19,['persian pop'],1,6.56808316976e-09,0.01767023303370726,0.09356653197125643,0.0008661140947803104
149,2ZC6H1OYbKsTwyWP2oipVD,Masih,"['0LkkLM2M97UEG7hi5mLn3u', '1XLGWRdWbnYF5WrI8Kli4m', '0RijxlHRlHCt8hYWPclQRJ', '3ik1ITmfyz6tnIgodqEHlz', '3pox3Tg5r65OlxX2zuNfRe']",2026,39,['persian pop'],2,1.60843779586e-09,0.01675550563170481,0.08755354996900423,0.0010534455774675326
150,5sarhkyrBmQFnOJe2HrMBH,Kayhan Kalhor,"['129o0b0q8hAgjrd7jDrbhP', '5Uj3HYkiz1cn32IPHMqhOy', '2NzB7sjEg2k46XhFXeYi2v', '3meYUCHyh5OayViOog5daw', '5C43FNPZAzBXLGWgkYWbs1']",9993,26,"['oriental classical', 'persian neo-traditional', 'persian traditional']",2,1.22304944683e-11,0.0013272380420621627,0.07172519488940302,0.0023194671592948243
