,artistId,name,relatedArtists,followers,popularity,genres
92,2SFwcduI9cdZsG6UxnBm3C,Sepehr Khalse,"['4uGBJ4gqsK7NAUb3DKTL7Q', '5y33cZ1Lo1YVUjraV880Lb', '7mGDv3CYlPghTIWzE6tOpv', '0u4qrFczDmAsJesHPgbnru', '0jCVTRvQkILbJvpviTpvd1']",3534,28,['persian hip hop']
93,7mGDv3CYlPghTIWzE6tOpv,Gdaal,"['4uGBJ4gqsK7NAUb3DKTL7Q', '2SFwcduI9cdZsG6UxnBm3C', '5y33cZ1Lo1YVUjraV880Lb', '0jCVTRvQkILbJvpviTpvd1', '0u4qrFczDmAsJesHPgbnru']",2588,22,['persian hip hop']
94,4eVyI1yiHoRjVrxt5y7gGL,Mohsen Namjoo,"['42o3S5oDd4Q4YyMNRmN5oS', '0tctijgZruddzQ8FCgvDj2', '1aAvWm4c1RQ2HnxFQYGFKS', '3meYUCHyh5OayViOog5daw', '1Ztcq0hkmzT4gWfmWZx3wu']",29424,36,['persian alternative']
95,42o3S5oDd4Q4YyMNRmN5oS,Kiosk,"['4eVyI1yiHoRjVrxt5y7gGL', '0tctijgZruddzQ8FCgvDj2', '2jvB5M73tBZlWybPmxIaw7', '1xA7r3Y1UGCp3rQMkgFXz4', '4kC0KjDKDzan8PsIglvzio']",8227,26,"['classic persian pop', 'persian alternative']"
96,1km564YyHWr7156Imwfbp9,Sirvan Khosravi,"['3IDPcBP4OoTNvm3b4h46cW', '2IYl0pVatTl6O2d1CQj6GQ', '72482nIO3fujPgLNJQWuCy', '00J3XSB6tD4SGSFflGseDx', '1tOtb40DeTYQJZPe11zSVx']",11585,33,['persian pop']
97,7gZ2ehh4RMlxJia3aVmoLM,Moein Z,"['67kWRUuakWQ7zpgUCLWMCH', '2uae2HQyeF6uSsV7u1cUF2', '5soNWYxH02JzesP081GwEl', '6OPRYriCGklH6tE0vk5IM8', '3ik1ITmfyz6tnIgodqEHlz']",992,18,[]
98,5FTtKfa7DciDLMolfVdMMP,Haydeh,[],781,13,[]
99,4kC0KjDKDzan8PsIglvzio,Farhad,"['7f8OibY3PULjl3LFgONPXC', '2jvB5M73tBZlWybPmxIaw7', '1xA7r3Y1UGCp3rQMkgFXz4', '5b1CDxqOGnXr5M1DUn2XQh', '4eVyI1yiHoRjVrxt5y7gGL']",5451,25,['classic persian pop']
100,1ft8rFTxoZ1c41DCR1tr1T,Abdi Behravanfar,"['3Z5yC2rnZ3KLYms3QEz9Ie', '7mTfF5lvdMyiWciH81cNBq', '55zgTrm0JBRzarhIzKaPPf', '1Ztcq0hkmzT4gWfmWZx3wu', '5Fq4u0e9OPI4k4R3QC6OZO']",1017,4,"['classic persian pop', 'persian alternative']"
101,3Z5yC2rnZ3KLYms3QEz9Ie,Ballgard,"['1ft8rFTxoZ1c41DCR1tr1T', '4besYDIj6c0kONEoL2fFqP', '7mTfF5lvdMyiWciH81cNBq', '5Fq4u0e9OPI4k4R3QC6OZO', '42o3S5oDd4Q4YyMNRmN5oS']",1214,8,['persian alternative']
